timestamp,measurement,value,uom,details,kWh,cumulative_kWh
2023-09-28 20:00:09.362,Power,1.25,W,dishwasher-eco-normal-3,1.8118055555555555e-06,1.8118055555555555e-06
2023-09-28 20:00:16.701,Power,1.82,W,dishwasher-eco-normal-3,3.7102722222222226e-06,5.522077777777778e-06
2023-09-28 20:00:20.719,Power,1.43,W,dishwasher-eco-normal-3,1.5960388888888887e-06,7.118116666666667e-06
2023-09-28 20:00:24.234,Power,1.24,W,dishwasher-eco-normal-3,1.2107222222222223e-06,8.32883888888889e-06
2023-09-28 20:00:29.103,Power,1.35,W,dishwasher-eco-normal-3,1.8258750000000001e-06,1.015471388888889e-05
2023-09-28 20:00:34.314,Power,1.27,W,dishwasher-eco-normal-3,1.838325e-06,1.1993038888888891e-05
2023-09-28 20:00:39.187,Power,2.11,W,dishwasher-eco-normal-3,2.856119444444445e-06,1.4849158333333337e-05
2023-09-28 20:00:44.385,Power,1.8,W,dishwasher-eco-normal-3,2.599e-06,1.7448158333333335e-05
2023-09-28 20:00:49.219,Power,1.27,W,dishwasher-eco-normal-3,1.7053277777777777e-06,1.9153486111111113e-05
2023-09-28 20:00:54.407,Power,1.26,W,dishwasher-eco-normal-3,1.8158e-06,2.0969286111111113e-05
2023-09-28 20:00:59.255,Power,1.32,W,dishwasher-eco-normal-3,1.7776e-06,2.2746886111111115e-05
2023-09-28 20:01:04.092,Power,1.79,W,dishwasher-eco-normal-3,2.4050638888888886e-06,2.5151950000000002e-05
2023-09-28 20:01:09.276,Power,1.24,W,dishwasher-eco-normal-3,1.7856000000000001e-06,2.693755e-05
2023-09-28 20:01:14.137,Power,1.32,W,dishwasher-eco-normal-3,1.7823666666666667e-06,2.8719916666666666e-05
2023-09-28 20:01:24.217,Power,1.31,W,dishwasher-eco-normal-3,3.6680000000000003e-06,3.2387916666666665e-05
2023-09-28 20:01:29.393,Power,1.32,W,dishwasher-eco-normal-3,1.8978666666666667e-06,3.428578333333333e-05
2023-09-28 20:01:34.289,Power,1.79,W,dishwasher-eco-normal-3,2.4344e-06,3.672018333333333e-05
2023-09-28 20:01:39.057,Power,1.31,W,dishwasher-eco-normal-3,1.7350222222222223e-06,3.845520555555555e-05
2023-09-28 20:01:44.247,Power,1.22,W,dishwasher-eco-normal-3,1.7588333333333334e-06,4.0214038888888886e-05
2023-09-28 20:01:49.149,Power,1.3,W,dishwasher-eco-normal-3,1.7701666666666668e-06,4.198420555555555e-05
2023-09-28 20:01:56.242,Power,1.24,W,dishwasher-eco-normal-3,2.4431444444444444e-06,4.442735e-05
2023-09-28 20:01:59.187,Power,1.69,W,dishwasher-eco-normal-3,1.3825138888888887e-06,4.5809863888888886e-05
2023-09-28 20:02:09.204,Power,1.28,W,dishwasher-eco-normal-3,3.5616e-06,4.937146388888889e-05
2023-09-28 20:02:14.067,Power,1.32,W,dishwasher-eco-normal-3,1.7831000000000001e-06,5.115456388888889e-05
2023-09-28 20:02:19.290,Power,1.27,W,dishwasher-eco-normal-3,1.8425583333333334e-06,5.2997122222222226e-05
2023-09-28 20:02:24.157,Power,1.3,W,dishwasher-eco-normal-3,1.757527777777778e-06,5.475465e-05
2023-09-28 20:02:34.214,Power,1.28,W,dishwasher-eco-normal-3,3.5758222222222225e-06,5.833047222222223e-05
2023-09-28 20:02:40.762,Power,2.26,W,dishwasher-eco-normal-3,4.110688888888888e-06,6.244116111111111e-05
2023-09-28 20:02:44.277,Power,1.82,W,dishwasher-eco-normal-3,1.7770277777777778e-06,6.421818888888889e-05
2023-09-28 20:02:49.160,Power,1.19,W,dishwasher-eco-normal-3,1.6141027777777778e-06,6.583229166666666e-05
2023-09-28 20:02:54.224,Power,1.27,W,dishwasher-eco-normal-3,1.7864666666666668e-06,6.761875833333333e-05
2023-09-28 20:02:59.168,Power,1.24,W,dishwasher-eco-normal-3,1.7029333333333334e-06,6.932169166666666e-05
2023-09-28 20:03:04.311,Power,1.81,W,dishwasher-eco-normal-3,2.5857861111111112e-06,7.190747777777776e-05
2023-09-28 20:03:09.185,Power,1.29,W,dishwasher-eco-normal-3,1.7465166666666664e-06,7.365399444444443e-05
2023-09-28 20:03:14.373,Power,1.22,W,dishwasher-eco-normal-3,1.7581555555555553e-06,7.541214999999999e-05
2023-09-28 20:03:19.192,Power,1.27,W,dishwasher-eco-normal-3,1.700036111111111e-06,7.711218611111109e-05
2023-09-28 20:03:24.069,Power,1.85,W,dishwasher-eco-normal-3,2.506236111111111e-06,7.96184222222222e-05
2023-09-28 20:03:29.246,Power,1.31,W,dishwasher-eco-normal-3,1.8838527777777776e-06,8.150227499999998e-05
2023-09-28 20:03:34.145,Power,1.29,W,dishwasher-eco-normal-3,1.7554750000000001e-06,8.325774999999998e-05
2023-09-28 20:03:39.329,Power,1.24,W,dishwasher-eco-normal-3,1.7856000000000001e-06,8.504334999999998e-05
2023-09-28 20:03:44.192,Power,1.32,W,dishwasher-eco-normal-3,1.7831000000000001e-06,8.682644999999998e-05
2023-09-28 20:03:50.728,Power,1.27,W,dishwasher-eco-normal-3,2.3057555555555556e-06,8.913220555555553e-05
2023-09-28 20:03:54.221,Power,1.19,W,dishwasher-eco-normal-3,1.1546305555555555e-06,9.028683611111109e-05
2023-09-28 20:03:59.404,Power,1.36,W,dishwasher-eco-normal-3,1.9580222222222226e-06,9.224485833333332e-05
2023-09-28 20:04:04.251,Power,1.73,W,dishwasher-eco-normal-3,2.329252777777778e-06,9.45741111111111e-05
2023-09-28 20:04:09.109,Power,1.25,W,dishwasher-eco-normal-3,1.6868055555555556e-06,9.626091666666665e-05
2023-09-28 20:04:14.297,Power,1.3,W,dishwasher-eco-normal-3,1.8734444444444443e-06,9.81343611111111e-05
2023-09-28 20:04:19.129,Power,1.29,W,dishwasher-eco-normal-3,1.7314666666666667e-06,9.986582777777777e-05
2023-09-28 20:04:24.297,Power,1.26,W,dishwasher-eco-normal-3,1.8088e-06,0.00010167462777777776
2023-09-28 20:04:29.165,Power,1.29,W,dishwasher-eco-normal-3,1.7443666666666668e-06,0.00010341899444444443
2023-09-28 20:04:34.371,Power,1.38,W,dishwasher-eco-normal-3,1.9956333333333334e-06,0.00010541462777777776
2023-09-28 20:04:39.205,Power,1.29,W,dishwasher-eco-normal-3,1.7321833333333332e-06,0.00010714681111111109
2023-09-28 20:04:44.399,Power,1.3,W,dishwasher-eco-normal-3,1.875611111111111e-06,0.0001090224222222222
2023-09-28 20:04:49.281,Power,1.32,W,dishwasher-eco-normal-3,1.7900666666666666e-06,0.00011081248888888887
2023-09-28 20:04:54.153,Power,1.71,W,dishwasher-eco-normal-3,2.3142000000000002e-06,0.00011312668888888887
2023-09-28 20:04:59.351,Power,1.23,W,dishwasher-eco-normal-3,1.7759833333333335e-06,0.0001149026722222222
2023-09-28 20:05:04.228,Power,1.75,W,dishwasher-eco-normal-3,2.3707638888888888e-06,0.00011727343611111109
2023-09-28 20:05:09.405,Power,1.31,W,dishwasher-eco-normal-3,1.8838527777777776e-06,0.00011915728888888887
2023-09-28 20:05:14.187,Power,1.19,W,dishwasher-eco-normal-3,1.5807166666666667e-06,0.00012073800555555554
2023-09-28 20:05:19.377,Power,1.25,W,dishwasher-eco-normal-3,1.8020833333333336e-06,0.00012254008888888887
2023-09-28 20:05:24.229,Power,1.26,W,dishwasher-eco-normal-3,1.6982e-06,0.00012423828888888887
2023-09-28 20:05:29.083,Power,1.24,W,dishwasher-eco-normal-3,1.6719333333333332e-06,0.0001259102222222222
2023-09-28 20:05:34.283,Power,1.36,W,dishwasher-eco-normal-3,1.9644444444444446e-06,0.00012787466666666663
2023-09-28 20:05:39.218,Power,1.83,W,dishwasher-eco-normal-3,2.508625e-06,0.00013038329166666662
2023-09-28 20:05:44.349,Power,1.28,W,dishwasher-eco-normal-3,1.8243555555555557e-06,0.00013220764722222218
2023-09-28 20:05:49.159,Power,1.22,W,dishwasher-eco-normal-3,1.6300555555555552e-06,0.00013383770277777774
2023-09-28 20:05:54.329,Power,1.34,W,dishwasher-eco-normal-3,1.924388888888889e-06,0.00013576209166666663
2023-09-28 20:05:59.194,Power,1.21,W,dishwasher-eco-normal-3,1.6351805555555557e-06,0.00013739727222222218
2023-09-28 20:06:04.135,Power,1.87,W,dishwasher-eco-normal-3,2.566575e-06,0.00013996384722222218
2023-09-28 20:06:09.347,Power,1.32,W,dishwasher-eco-normal-3,1.9110666666666664e-06,0.00014187491388888883
2023-09-28 20:06:14.141,Power,1.3,W,dishwasher-eco-normal-3,1.7311666666666666e-06,0.0001436060805555555
2023-09-28 20:06:19.401,Power,1.72,W,dishwasher-eco-normal-3,2.513111111111111e-06,0.00014611919166666662
2023-09-28 20:06:24.208,Power,1.28,W,dishwasher-eco-normal-3,1.7091555555555557e-06,0.00014782834722222216
2023-09-28 20:06:29.339,Power,1.34,W,dishwasher-eco-normal-3,1.9098722222222224e-06,0.0001497382194444444
2023-09-28 20:06:34.213,Power,1.26,W,dishwasher-eco-normal-3,1.7059e-06,0.0001514441194444444
2023-09-28 20:06:39.090,Power,1.3,W,dishwasher-eco-normal-3,1.7611388888888889e-06,0.00015320525833333328
2023-09-28 20:06:44.294,Power,1.29,W,dishwasher-eco-normal-3,1.8647666666666667e-06,0.00015507002499999995
2023-09-28 20:06:49.124,Power,1.23,W,dishwasher-eco-normal-3,1.65025e-06,0.00015672027499999993
2023-09-28 20:06:54.389,Power,1.25,W,dishwasher-eco-normal-3,1.828125e-06,0.00015854839999999995
2023-09-28 20:06:59.181,Power,1.24,W,dishwasher-eco-normal-3,1.6505777777777777e-06,0.00016019897777777773
2023-09-28 20:07:04.388,Power,1.69,W,dishwasher-eco-normal-3,2.444397222222222e-06,0.00016264337499999996
2023-09-28 20:07:09.254,Power,1.23,W,dishwasher-eco-normal-3,1.6625499999999999e-06,0.00016430592499999997
2023-09-28 20:07:14.125,Power,1.22,W,dishwasher-eco-normal-3,1.650727777777778e-06,0.00016595665277777775
2023-09-28 20:07:19.282,Power,1.38,W,dishwasher-eco-normal-3,1.97685e-06,0.00016793350277777774
2023-09-28 20:07:24.158,Power,1.23,W,dishwasher-eco-normal-3,1.6659666666666668e-06,0.0001695994694444444
2023-09-28 20:07:29.344,Power,1.21,W,dishwasher-eco-normal-3,1.7430722222222222e-06,0.00017134254166666663
2023-09-28 20:07:34.159,Power,1.77,W,dishwasher-eco-normal-3,2.3673750000000004e-06,0.00017370991666666662
2023-09-28 20:07:39.336,Power,1.56,W,dishwasher-eco-normal-3,2.2433666666666666e-06,0.0001759532833333333
2023-09-28 20:07:44.197,Power,1.27,W,dishwasher-eco-normal-3,1.7148527777777778e-06,0.00017766813611111106
2023-09-28 20:07:49.138,Power,1.24,W,dishwasher-eco-normal-3,1.7019e-06,0.00017937003611111108
2023-09-28 20:07:54.318,Power,1.33,W,dishwasher-eco-normal-3,1.9137222222222224e-06,0.0001812837583333333
2023-09-28 20:07:59.209,Power,1.32,W,dishwasher-eco-normal-3,1.7933666666666667e-06,0.00018307712499999996
2023-09-28 20:08:04.384,Power,1.71,W,dishwasher-eco-normal-3,2.458125e-06,0.00018553524999999997
2023-09-28 20:08:09.174,Power,1.31,W,dishwasher-eco-normal-3,1.743027777777778e-06,0.00018727827777777775
2023-09-28 20:08:14.370,Power,1.35,W,dishwasher-eco-normal-3,1.9485e-06,0.00018922677777777775
2023-09-28 20:08:19.208,Power,1.28,W,dishwasher-eco-normal-3,1.7201777777777777e-06,0.00019094695555555552
2023-09-28 20:08:24.067,Power,1.33,W,dishwasher-eco-normal-3,1.7951305555555557e-06,0.00019274208611111109
2023-09-28 20:08:29.261,Power,1.23,W,dishwasher-eco-normal-3,1.7746166666666666e-06,0.00019451670277777775
2023-09-28 20:08:34.124,Power,1.26,W,dishwasher-eco-normal-3,1.70205e-06,0.00019621875277777776
2023-09-28 20:08:39.317,Power,2.31,W,dishwasher-eco-normal-3,3.332175e-06,0.00019955092777777775
2023-09-28 20:08:44.177,Power,1.23,W,dishwasher-eco-normal-3,1.6605e-06,0.00020121142777777774
2023-09-28 20:08:49.401,Power,1.28,W,dishwasher-eco-normal-3,1.8574222222222222e-06,0.00020306884999999995
2023-09-28 20:08:54.252,Power,1.31,W,dishwasher-eco-normal-3,1.7652250000000001e-06,0.00020483407499999996
2023-09-28 20:08:59.121,Power,1.29,W,dishwasher-eco-normal-3,1.744725e-06,0.00020657879999999996
2023-09-28 20:09:04.294,Power,1.76,W,dishwasher-eco-normal-3,2.5290222222222223e-06,0.00020910782222222218
